variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,variable.1,term.1,estimate.1,std.error.1,statistic.1,p.value.1,conf.low.1,conf.high.1
age,(Intercept),-2.2466888563399086,0.7843206496467288,-2.864503003142726,0.004176641942594117,-3.895437329370972,-0.7936808094149811,age,(Intercept),0.10574879495556612,0.7843206496467288,-2.864503003142726,0.004176641942594117,0.020334479639131934,0.4521773497441537
age,.x,0.02367400927249613,0.011969091527090723,1.9779286689313564,0.04793675422065695,0.001092925916931274,0.048381116668726784,age,.x,1.0239564631644462,0.011969091527090723,1.9779286689313564,0.04793675422065695,1.0010935233781018,1.0495705879552089
ASA,(Intercept),-1.6065752802153623,0.5455487180550928,-2.9448795809526964,0.003230803783652658,-2.7150115859734387,-0.5629705697999781,ASA,(Intercept),0.20057334669257307,0.5455487180550928,-2.9448795809526964,0.003230803783652658,0.06620418596268966,0.569514765216361
ASA,.x,0.5224182530291254,0.3154616151375501,1.6560438036219918,0.09771294841235079,-0.09417743579492989,1.1523982138252564,ASA,.x,1.6861001403296028,0.3154616151375501,1.6560438036219918,0.09771294841235079,0.9101212598238163,3.165776020915225
gender,(Intercept),-0.08004270767353538,0.4003203845127102,-0.19994661968305047,0.8415223293105173,-0.8789757975605653,0.7105500297957562,gender,(Intercept),0.923076923076924,0.4003203845127102,-0.19994661968305047,0.8415223293105173,0.41520795097754815,2.035110322174243
gender,.xmale,-0.9103559963516781,0.461523109502519,-1.9725036029787568,0.04855214541199913,-1.8225388364380528,7.671578728347186e-4,gender,.xmale,0.4023809523820237,0.461523109502519,-1.9725036029787568,0.04855214541199913,0.1616149157957926,1.0007674522136996
vomiting,(Intercept),-0.6931471805597439,0.24019218660552694,-2.8858023666611405,0.0039041723598445604,-1.1785709056783567,-0.23251001485967177,vomiting,(Intercept),0.5000000000001007,0.24019218660552694,-2.8858023666611405,0.0039041723598445604,0.30771818283046415,0.7925418121120007
vomiting,.xyes,-0.25593337413513406,0.4162733725389018,-0.6148204305602479,0.5386733153091341,-1.0951349488348703,0.5469741502355455,vomiting,.xyes,0.7741935483886967,0.4162733725389018,-0.6148204305602479,0.5386733153091341,0.33449446426447677,1.7280163812648077
nausea,(Intercept),-0.8013607651994066,0.20345001795484777,-3.9388581689742335,8.187030699371918e-5,-1.2116408162182726,-0.41135259576996386,nausea,(Intercept),0.4487179487182949,0.20345001795484777,-3.9388581689742335,8.187030699371918e-5,0.2977083936930617,0.6627532064207801
nausea,.xyes,0.29053514143342773,0.7581063339249877,0.3832379818398606,0.7015433184208413,-1.3369335737209178,1.7507792197358116,nausea,.xyes,1.3371428571418413,0.7581063339249877,0.3832379818398606,0.7015433184208413,0.2626498313423111,5.759088523486096
